电影名,评分,导演,演员,月份,类型,时长,语言,评论数,地区
['窈窕淑男的日记 ตุ๊ดซี่ส์แอนด์ เดอะเฟค'],['7.1'],['基提哈克·通加姆'],"['查伦舒克·帕奥佩茨', '通坎东·通猜', '拉塔南特·詹亚季拉翁', '帕塔拉萨亚·克鲁阿苏旺斯里', '阿拉亚·爱尔柏塔·亥盖特', '可林桑拉铺·皮木颂克朗', '甘·纯郝哇', '帕薇努特·庞纳康', '冈·斯瓦蒂', '巴尼沙拉·披蒲', '尼替·柴契塔通', '夏纳纳·努塔科姆', '帕瑞斯·因塔拉科玛亚苏特', '克劳迪娜·克雷格', '宝拉·泰勒', '泰莎昂·派索克乔纶']",[],"['喜剧', '同性']",['108'],[' 泰语'],['3333'],[' 泰国']
['21座桥 21 Bridges'],['6.7'],['布莱恩·柯克'],"['查德维克·博斯曼', '西耶娜·米勒', '泰勒·克奇', 'J·K·西蒙斯', '凯斯·大卫', '史蒂芬·詹姆士', '凯蒂·麦克莱伦', '莎伊娜·瑞恩', '加里·卡尔', '维多利亚·卡塔赫纳', '戴尔·帕文斯基', '托比·海明威', '克里斯蒂安·艾赛亚', '路易斯·坎瑟米', '乔恩·道格拉斯·雷尼', '杰拉德·瓦德', '莫洛克·奥马里', '苏泽特·古恩', '迈克尔·J·克雷西克', '迈克尔·J·莱昂斯']",[],"['剧情', '惊悚', '犯罪']",['99'],[' 英语'],['6735'],[' 美国']
['吹响悠风号剧场版：誓言的终章 劇場版 響け！ユーフォニアム～誓いのフィナーレ～'],['9.2'],['石原立也'],"['黑泽朋世', '朝井彩加', '丰田萌绘', '安济知佳', '石谷春贵', '藤村鼓乃美', '山冈百合', '津田健次郎', '小堀幸', '雨宫天', '七濑彩夏', '久野美咲', '土屋神叶', '寿美菜子', '樱井孝宏']",[],['动画'],['100'],[' 日语'],['3823'],[' 日本']
['异乡人：上海的芥川龙之介 ストレンジャー～上海の芥川龍之介～'],['8.6'],['加藤拓'],"['松田龙平', '冈部崇', '中村友理', '奈绪', '金世佳', '任洛敏', '邱必昌']",[],"['剧情', '传记']",['73'],[' 日语'],['9842'],[' 日本']
['霸主 Overlord'],['6.5'],['朱利叶斯·艾弗里'],"['约翰·艾德坡', '怀亚特·罗素', '马蒂尔德·奥利维耶', '皮鲁·埃斯贝克', '约翰·马加罗', '伊恩·德·卡斯泰克', '雅各布·安德森', '多米尼克·阿普尔怀特', '博基姆·伍德拜因', '恩里奇·雷德曼', '马克·麦克肯纳', '海莉·卡迈克尔', '米迦勒·埃普', '罗斯·汤姆林森', '本·特瓦索里', '安迪·韦勒姆', '帕特里克·布拉莫尔', '肖恩·狄克逊', '豪尔赫·莱昂·马丁内斯', '伊娃·马格亚']","['09', '11']","['动作', '科幻', '恐怖', '战争']",['110'],[' 英语 / 俄语 / 法语 / 德语'],['17693'],[' 美国 / 加拿大']
['娱乐之家 Funhouse'],['5.5'],['Jason William Lee'],"['瓦尔特·斯卡斯加德', '哈米莎·威尔希尔', 'Gerard Christopher']",[],['恐怖'],[],[' 英语'],['155'],[' 瑞典 / 加拿大']
['马丁·伊登 Martin Eden'],['8.0'],['皮耶特罗·马切罗'],"['卢卡·马里内利', '杰西卡·塞西', '文森佐·内莫拉托', '马克·莱昂纳蒂', '丹妮丝·萨迪斯科', '卡门·波梅拉', '卡洛·切基', '奥蒂莉亚·拉涅利', '伊丽莎白·瓦尔古', '彼得罗·拉古萨', '萨维诺·帕帕雷拉', '文琴察·莫迪卡', '查士丁尼·阿尔皮', '朱塞佩·伊利亚诺', '佩佩·马吉奥', '毛里齐奥·多纳多尼', '加埃塔诺·布鲁诺', '阿涅洛·阿雷纳', '琪娅拉·弗兰西妮', '里纳特·希什马塔林']",[],['剧情'],['129'],[' 意大利语 / 那不勒斯语 / 法语'],['6362'],[' 意大利 / 法国 / 德国']
['火箭人 Rocketman'],['7.2'],['德克斯特·弗莱彻'],"['塔伦·埃哲顿', '杰米·贝尔', '理查德·麦登', '布莱丝·达拉斯·霍华德', '斯蒂文·麦金托什', '查理·罗', '哈丽特·瓦尔特', '维克托里娅·菲斯', '杰玛·琼斯', '汤姆·班尼特', '朱利安·费罗', '莱顿·威廉姆斯', '基特·康纳', '卡米尔·雷米泽斯基', '贝恩·科拉科', '齐亚德·阿巴扎', '伊斯雷尔·鲁兹', '拉斯科·阿特金斯', '格雷厄姆·弗莱彻-库克', '史蒂威·戴维斯']",[],"['剧情', '同性', '音乐', '传记']",['121'],[' 英语'],['15627'],[' 英国 / 美国 / 加拿大']
['爱情是什么 愛がなんだ'],['7.1'],['今泉力哉'],"['岸井雪乃', '成田凌']",['10'],"['剧情', '爱情']",['123'],[' 日语'],['5873'],[' 日本']
['中国蓝盔'],['3.5'],['宁海强'],"['徐洪浩', '一龙', '彭凌', '沈浩', '王韬', '聂远', '曹凯', '王强', '郑卫莉', '伊莉莎', '达丽雅', '一二先生', '尚', '蔡明凯', '龙天', '穆雷克']","['11', '06']","['剧情', '动作', '战争']",['96'],[' 汉语普通话'],['6245'],[' 中国大陆']
['娼年'],['5.8'],['三浦大辅'],"['松坂桃李', '真飞圣', '富手麻妙', '猪塚健太', '樱井由纪', '小柳友', '马渕英俚可', '荻野友里', '佐佐木心音', '大谷麻衣', '阶户瑠李', '西冈德马', '江波杏子']",['04'],"['爱情', '情色']",['119'],[' 日语'],['13756'],[' 日本']
['性别为本 On the Basis of Sex'],['7.6'],['米密·莱德'],"['菲丽希缇·琼斯', '艾米·汉莫', '贾斯汀·塞洛克斯', '萨姆·沃特森', '凯西·贝茨', '卡莉·史派妮', '杰克·莱诺', '斯蒂芬·鲁特', '克里斯·马尔基', '加里·韦恩兹', '弗朗西斯·X·麦卡蒂', '罗纳德·格特曼', '温迪·古逊', '约翰·拉尔斯顿', '卡尔·格拉戈萨斯', '亚瑟·霍尔顿', '安吉拉·嘉鲁皮', '乔迪·约翰逊', '杰夫·利利科', '乔·柯布登 ', '莎珑·华盛顿', '瓦罗娜·塞茨瓦埃洛', '阿伦·奥阿约-斯图尔特', '霍莉·G·弗兰克尔', '汤姆·埃尔文', '斯蒂芬妮·科斯塔', '拉斐尔·格罗斯-哈维', '罗伯特·J·塔维纳', '加布里埃尔·格雷厄姆', '丹尼尔·布罗克', '道恩·福特', '迈克尔·迪克森', '亚历山大·贝朗格', '鲁斯·巴德·金斯伯格']",['12'],"['剧情', '传记']",['120'],[' 英语'],['8521'],[' 美国']
['2019腾讯视频星光盛典'],[''],[],"['李现', '赵丽颖', '肖战', '迪丽热巴', '王一博', '杨幂', '吴亦凡', '宋茜', '蔡徐坤', '江疏影', '杨洋', '姚晨', '李佳琦', '杨超越', '鹿晗', '李紫婷', '白宇', '杨芸晴', '张若昀', '孙涵', '许魏洲', '孙雨', '徐正溪', '孟美岐', '许凯', '吴宣仪', '张涵予']",[],['真人秀'],[],[' 汉语普通话'],[],[' 中国大陆']
['最后一球 Тренер'],['7.5'],['丹尼拉·科兹洛夫斯基'],"['丹尼拉·科兹洛夫斯基', '伊琳娜·戈尔巴乔娃', '安德烈·斯莫利亚科夫', '奥莉亚·祖耶娃', '弗拉基米尔·伊利因', '维伦·巴比切夫', '维克多·维尔比斯基', '维塔利亚·安德烈夫']","['06', '04']","['剧情', '运动']",['137'],[' 俄语'],['8064'],[' 俄罗斯']
['真爱百分百 Tout le monde debout'],['7.5'],['弗朗克·迪博斯克'],"['弗朗克·迪博斯克', '亚历山德拉·拉米', '艾尔莎·泽贝斯坦', '热拉尔·达尔蒙', '卡洛琳·安格鲁德', '洛朗·巴图', '克洛德·布拉瑟', '弗朗索瓦-格扎维埃·德梅松', '克里斯托弗·卡纳德', '弗朗西斯·科菲内', '源利华', '菲利普·维约']",['03'],"['喜剧', '爱情']",['107'],[' 法语 / 英语 / 意大利语'],['8609'],[' 法国 / 比利时']
['犬屋敷 真人版 いぬやしき'],['6.7'],['佐藤信介'],"['木梨宪武', '佐藤健', '本乡奏多', '二阶堂富美', '三吉彩花', '福崎那由他', '滨田麻里', '齐藤由贵', '伊势谷友介']",['04'],"['动作', '科幻']",['127'],[' 日语'],['9246'],[' 日本']
['不存在于记忆中 記憶にございません！'],['6.7'],['三谷幸喜'],"['中井贵一', '藤冈靛', '石田百合子', '草刈正雄', '佐藤浩市', '小池荣子', '齐藤由贵', '木村佳乃', '梶原善']",[],"['剧情', '喜剧']",['127'],[' 日语'],['1616'],[' 日本']
['请寻找我 나를 찾아줘'],['6.6'],['金承宇'],"['李英爱', '刘在明', '李源根', '朴海俊']",[],"['惊悚', '犯罪']",['108'],[' 韩语'],['4063'],[' 韩国']
['逃组 뺑반'],['6.4'],['韩俊熙'],"['孔晓振', '柳俊烈', '曹政奭', '廉晶雅', '全慧珍', '金起范', '孙锡久']",[],['动作'],['133'],[' 韩语'],['6974'],[' 韩国']
['抓人游戏 Tag'],['6.7'],['杰夫·汤姆西奇'],"['杰瑞米·雷纳', '乔恩·哈姆', '艾德·赫尔姆斯', '安娜贝拉·沃丽丝', '艾拉·菲舍尔', '拉什达·琼斯', '莱丝莉·比伯', '杰克·约翰逊', '布莱恩·丹内利', '汉尼拔·布勒斯', '塞巴斯蒂安·马尼斯科', '诺拉·邓恩', '梅丽莎·乐爱伦', '史蒂夫·伯格']",['06'],['喜剧'],['100'],[' 英语'],['11109'],[' 美国']
['古田军号'],['6.6'],['陈力'],"['王仁君', '王志飞', '刘智扬', '胡兵', '张一山', '孙维民', '李幼斌', '董玥', '邹先煜']",[],"['剧情', '历史', '战争']",['120'],[' 汉语普通话'],['6320'],[' 中国大陆']
['三方国界 Triple Frontier'],['6.4'],['J·C·尚多尔'],"['本·阿弗莱克', '查理·汉纳姆', '佩德罗·帕斯卡', '奥斯卡·伊萨克', '加内特·赫德兰', '阿德里娅·阿霍纳', '希拉·凡德', '雷纳尔多·加列戈斯', '克里斯汀·霍恩', '穆罕默德·哈肯沙迪', '迈克尔·本杰明·埃尔南德斯', '佩德罗·洛佩兹', '肖恩·麦克布莱德', '杰森·奎恩', '卡洛斯·利纳雷斯']",[],"['动作', '犯罪', '冒险']",['125'],[' 英语 / 西班牙语 / 葡萄牙语'],['15134'],[' 美国']
['变身 변신'],['5.9'],['金泓善'],"['裴晟祐', '成东日', '张荣男', '金惠濬', '曹怡贤', '金嫝勋']",[],['恐怖'],['113'],[' 韩语'],['6301'],[' 韩国']
['杜嘉班纳2019春夏女装秀 Dolce&amp;Gabbana: Spring/Summer 2019 Women&#39;s Fashion Show'],['9.1'],[],"['莫妮卡·贝鲁奇', '伊莎贝拉·罗西里尼', '卡拉·布吕尼', '伊娃·赫兹格瓦', '海伦娜·克里斯坦森', '芭芭拉·帕尔文', '莎拉·桑帕约', '艾米丽·拉塔科斯基', 'Brandon Thomas Lee', '卡梅隆·达拉斯', '斯特拉·麦克斯韦', '凯勒·莱恩', 'Sierra Dallas', '布鲁娜·马尔科辛', '玛丽娜·辉·巴尔博萨', '迪丽热巴', '崔素拉', '刘春杰', '梅根·考莉森', '贺聪', '凯伦·艾尔森', '阿什利·格雷厄姆', '唐赫', '黛薇卡·霍内', '刘欢', '郑秀妍', '康思佳']",['09'],['真人秀'],[],[' 无对白'],['1266'],[' 意大利']
['妈妈咪呀2 Mamma Mia! Here We Go Again'],['7.0'],['欧·帕克'],"['莉莉·詹姆斯', '阿曼达·塞弗里德', '朱丽·沃特斯', '克里斯汀·芭伦斯基', '皮尔斯·布鲁斯南', '斯特兰·斯卡斯加德', '科林·费尔斯', '多米尼克·库珀', '杰瑞米·艾文', '亚历克萨·戴维斯', '杰西卡·基南·温', '乔什·迪伦', '休·斯金纳', '雪儿', '梅丽尔·斯特里普', '安迪·加西亚', '西莉亚·伊姆里', '欧米德·吉亚李利', '杰拉德·摩纳科', '森尚子', '伊川东吾', '阿纳斯塔西娅·希尔', '苏珊娜·巴克莱德', '乔纳森·戈德史密斯', '凯西·克莱尔', '班尼·安德森', '戴尔·布兰斯顿', '亚历珊德拉·福特']","['08', '07']","['喜剧', '爱情', '歌舞']",['114'],[' 英语 / 法语 / 希腊语'],['23096'],[' 英国 / 美国']
['中二病也要谈恋爱！剧场版 -Take On Me- 映画 中二病でも恋がしたい！ -Take On Me-'],['8.6'],['石原立也'],"['福山润', '内田真礼', '赤崎千夏', '浅仓杏美', '上坂堇', '长妻树里', '仙台惠理', '大塚芳忠', '保志总一朗', '岩男润子', '福原香织', '天野由梨', '冲佳苗', '井上喜久子', '设乐麻美', '山冈百合']",['01'],"['喜剧', '爱情', '动画']",['94'],[' 日语 / 意大利语'],['5421'],[' 日本']
['完美的他人 완벽한타인'],['7.4'],['李宰圭'],"['柳海真', '赵震雄', '李瑞镇', '廉晶雅', '金智秀', '宋昰昀', '尹敬浩', '智友']",['10'],"['剧情', '喜剧']",['115'],[' 韩语'],['16602'],[' 韩国']
['关于无尽 Om det oändliga'],['7.4'],['罗伊·安德森'],"['Bengt Bergius', 'Anja Broms ', 'Marie Burman', 'Amanda Davies', 'Tatiana Delaunay', 'Karin Engman', 'Jan-Eje Ferling', 'Thore Flygel', 'Lotta Forsberg', '安东·福斯蒂克', 'Fanny Forsdik', 'Anders Hellström', 'Göran Holm', 'Stefan Karlsson', 'Jessica Louthander', 'Lars Lundgren']",[],['剧情'],['78'],[' 瑞典语'],['4208'],[' 瑞典 / 德国 / 挪威']
['在蓝色时分飞翔 ブルーアワーにぶっ飛ばす'],['7.2'],['箱田优子'],"['夏帆', '沈恩京', '渡边大知', '中山裕介', '黑田大辅', '岛田久作', '南果步']",[],['剧情'],['92'],[' 日语'],['1557'],[' 日本']
['倚马而息 Calm with Horses'],['6.4'],['Nick Rowland'],"['巴里·基奥恩', '柯斯莫·贾维斯', '妮娅姆·阿尔格', '奈德·丹内利', '安东尼·威尔士', '大卫·威尔莫特', '西蒙妮·柯比', '瑞安·麦克法兰', 'Hazel Doupe', 'Lee Byford', ""Roisin O'Neill"", ""Toni O'Rourke"", 'Stephen McDade', 'Liam Carney', ""John Paul O'Driscoll""]",[],['剧情'],['101'],[' 英语'],['74'],[' 英国 / 爱尔兰']
['解放·终局营救'],['4.7'],"['李少红', '常晓阳']","['周一围', '钟汉良', '钟楚曦', '王迅', '王锵', '姜皓文', '乌兰托雅·朵', '杨幂', '潘斌龙', '傅亨', '郭麒麟', '尹子维', '魏子淇', '季路桐', '艾米', '邵兵']",[],"['剧情', '历史', '战争']",['103'],[' 汉语普通话'],['8085'],[' 中国大陆']
['陪审员 배심원들'],['7.5'],['洪承完'],"['文素丽', '朴炯植', '白秀章', '金美京', '尹敬浩', '徐正妍', '赵汉哲', '金弘波', '赵秀香', '权海骁', '太仁镐', '徐贤宇', '李容怡', '廉东宪']",[],['剧情'],['114'],[' 韩语'],['7186'],[' 韩国']
['蜜蜂与远雷 蜜蜂と遠雷'],['6.6'],['石川庆'],"['松冈茉优', '松坂桃李', '森崎温', '铃鹿央士', '臼田麻美', '千惠巳知惠美', '福岛莉拉', '真岛秀和', '片桐入', '光石研', '平田满', '齐藤由贵', '鹿贺丈史']",[],"['剧情', '音乐']",['118'],[' 日语'],['1856'],[' 日本']
['譬如朝露 ดิว ไปด้วยกันนะ'],['6.3'],['楚克·萨克瑞科'],"['Polnat Boonma', '雅琳达·邦恩纳克', 'Yarinda Bunnag', 'Apasiri Chantrasmi', '萨达农·杜隆卡沃', 'Pawat Jitsawangdee', '苏格拉瓦·卡那诺', 'Pantach Kankham', 'Darisa Karnpob', 'Jessada Kowiboonchai', 'Nattapong Kulsathid', 'Maytichai Nangwong', 'Chanakarn Niruttipaworn', 'Patchamon Park', '欧帕瓦·吉沙晚迪']",[],"['剧情', '爱情', '同性']",['123'],[' 泰语'],['4012'],[' 泰国']
['超龄少女 Oh Baby...'],['8.4'],['Nandini Reddy'],"['萨曼莎·鲁斯·帕布', 'Rajendra Prasad', 'Lakshmi']",[],"['剧情', '歌舞', '奇幻']",['157'],[' 泰卢固语'],['558'],[' 印度']
['词典 말모이'],['7.7'],['严宥娜'],"['柳海真', '尹启相', '金弘波', '禹贤', '金太勋', '艺秀晶', '赵贤哲']",[],"['剧情', '历史']",['135'],[' 韩语'],['4587'],[' 韩国']
['白小姐 미쓰백'],['7.4'],['李智媛'],"['韩智敏', '金诗雅', '李熙俊', '权素贤', '白秀章', '金善映', '全锡浩', '李周英', '赵敏俊', ' 金俊范', '郑京虎', '金浩昌', '刘贞莱', '尹颂雅', '琴东贤', '李静恩', '张荣男']",['10'],['剧情'],['98'],[' 韩语'],['6772'],[' 韩国']
['最长一枪'],['6.1'],['徐顺利'],"['王志文', '余男', '李立群', '许亚军', '夏克立', '高捷', '余皑磊', '赵铭岳', '白澍', '王冠杰', '康斯坦丁·科玖霍夫', '法比安·卢查瑞尼']",[],"['剧情', '动作']",['125'],[' 汉语普通话'],['14214'],[' 中国大陆 / 澳大利亚']
['黄子华栋笃笑之金盆𠺘口 黄子华栋笃笑之金盆啷口'],['9.5'],['黄子华'],['黄子华'],['07'],['喜剧'],['160'],[' 粤语'],['1654'],[' 中国香港']
['古董局中局之佛头起源'],['8.0'],['袁菲'],"['潘粤明', '丁溪鹤']",[],['冒险'],['20'],[' 汉语普通话'],['1995'],[' 中国大陆']
['再见，嘴唇 さよならくちびる'],['7.1'],['盐田明彦'],"['小松菜奈', '门胁麦', '成田凌', '筱山辉信', '松本真里香', '新谷YUZUMI', '日高麻铃', '青柳尊哉', '松浦祐也', '筱原友希子', '槙田雄司']",[],['音乐'],['116'],[' 日语'],['4603'],[' 日本']
['鹿皮 Le daim'],['6.8'],['昆汀·杜皮约'],"['让·杜雅尔丹', '阿黛拉·哈内尔', '艾伯特·德尔佩', '科拉莉·吕西耶', '玛丽·布奈尔', '马克西姆·德瑞森', '朱莉娅·福雷', 'Pierre Gommé', 'Laurent Nicolas', 'Stéphane Jobert', 'Franck Lebreton', 'Panayotis Pascot', '塞夫·哈杰迪', 'Maryne Cayon']",[],['喜剧'],['77'],[' 法语'],['4150'],[' 法国']
['每天回家都会看到老婆在装死 家に帰ると妻が必ず死んだふりをしています。'],['6.7'],['李斗士男'],"['荣仓奈奈', '安田显', '大谷亮平', '野野澄花', '浅野和之', '品川彻', '萤雪次朗']",['06'],['喜剧'],['115'],[' 日语'],['8355'],[' 日本']
['一生有你2019'],['4.1'],['卢庚戌'],"['徐娇', '谢彬彬', '晏紫东', '黄婷婷', '吕绍聪', '金志文', '曾黎', '保剑锋', '卢庚戌', '缪杰', '潘斌龙', '易小星']",[],['爱情'],['90'],[' 汉语普通话'],['5258'],[' 中国大陆']
['阿修罗'],['3.1'],['张鹏'],"['吴磊', '梁家辉', '刘嘉玲', '张艺上', '冯嘉怡', '明道', '董琦', '多布杰']",['07'],"['动作', '爱情', '奇幻']",['141'],[' 汉语普通话'],['16399'],[' 中国大陆']
['重金属囧途 Hevi reissu'],['7.7'],"['裘索·拉提欧', '尤加·维迪葛伦']","['托尔斯坦·比约克朗德', '安蒂·希海基宁', '维尔·希尔卡', '约翰内斯·霍洛佩宁', '萨穆利·贾斯基奥', '明卡·库斯顿', '凯·莱蒂宁', '皮霍·朗卡', '锡尼卡·莫克尔拉', '麦克斯·奥瓦斯卡', '佩尔蒂·斯维霍姆', '马尔蒂·斯利亚', '威利·蒂奥宁']",['03'],"['喜剧', '音乐']",['92'],[' 芬兰语 / 英语 / 挪威语'],['8126'],[' 芬兰 / 挪威']
['挪威7·22爆炸枪击案 22 July'],['7.5'],['保罗·格林格拉斯'],"['安德斯·丹尼尔森·李', '乔纳斯·斯特兰德·格利', '乔恩·奥伊登', '玛丽亚·波克', '托尔比约恩·哈尔', '乌里克·汉森·多维根', '托恩·丹尼尔森', '安尼克·冯·德·利佩', '拉尔斯·阿兰兹-汉森', '爱因德·伊恩沃德']","['09', '10']","['剧情', '历史', '犯罪']",['143'],[' 英语'],['8854'],[' 挪威 / 冰岛 / 美国']
['印度有嘻哈 गली बॉय'],['7.5'],['卓娅·阿赫塔尔'],"['兰维尔·辛格', '阿莉雅·布哈特', '希坦特·查杜尔韦迪', '维贾伊·拉齐', '阿姆鲁塔·苏巴什', '维杰·维玛', '卡琪·柯切林', '伊赫拉·克汗', '谢巴·查达', '乔蒂·苏巴', '拉胡尔·皮斯克', '纳库尔·萨赫德娃', '舒蒂·乔汉', '艾西瓦娅·德赛', '库布拉·萨特', '索纳利·萨查德夫']",[],"['剧情', '音乐']",['153'],[' 印地语'],['3926'],[' 印度']
['夕雾花园 The Garden of Evening Mists'],['7.2'],['林书宇'],"['李心洁', '阿部宽', '张艾嘉', '大卫·奥克斯', '朱利安·山德斯', '约翰·汉纳', '林宣妤', '陈琼华', '谢振刚', 'Naeim Ghalili']",[],"['剧情', '历史']",['120'],[' 英语 / 粤语 / 日语 / 马来语'],['2318'],[' 马来西亚 / 英国']
['侦探2 탐정: 리턴즈'],['6.6'],['李彦禧'],"['权相宇', '成东日', '李光洙', '徐英姬', '郑妍珠', '孙丹菲', '金东旭', '李一花']",['06'],"['喜剧', '犯罪']",['116'],[' 韩语'],['6462'],[' 韩国']
['翠丝 翠絲'],['6.9'],['李骏硕'],"['姜皓文', '惠英红', '黄河', '袁富华', '余香凝', '吴肇轩', '周祉君', '陈蕾', '葛民辉', '岑珈其', '梁舜燕', '顾定轩', '黄溢濠', '李昭南', '陈志全']","['11', '10']","['剧情', '同性']",['119'],[' 粤语'],['11382'],[' 中国香港']
['恶霸警察 악질경찰'],['6.7'],['李桢凡'],"['李善均', '全素妮', '朴海俊', '宋永彰', '朴秉恩', '金敏载', '郑家蓝', '尹亨国']",[],"['剧情', '犯罪']",['127'],[' 韩语'],['4324'],[' 韩国']
['最后一搏 The Last Full Measure'],['6.7'],['托德·罗宾森'],"['塞缪尔·杰克逊', '塞巴斯蒂安·斯坦', '克里斯托弗·普卢默', '布莱德利·惠特福德', '彼得·方达', '艾德·哈里斯', '艾莉森·萨多尔', '杰瑞米·艾文', '威廉·赫特', '戴安·拉德', '迈克尔·因佩里奥利', '莱纳斯·罗彻', '埃米·马迪根', '约翰·萨维奇', '罗伯特·派恩', '扎齐·罗伊瑞格', '麦克斯·盖尔', '丽莎盖伊·汉密尔顿', '代尔·戴', '瑟达吕斯·布兰', '柯迪·沃克', '特拉维斯·阿隆·韦德', '詹姆斯·贾格尔', '维布尔·弗利茨杰拉德', '理查德·考索恩', '里克·赖茨', '阿瑟·迈尔斯·法里卡', '朱利安·亚当斯', '丹·雷诺兹', '贾迈尔·钱伯斯', '罗宾·戴克', '胡安·贾斯帕', '佩里·约翰逊', '奥罗拉·卡琳', '瑞恩·牛顿', '帕蒂·舍尔哈斯', '特拉维斯·汤普森', '罗伯特·廷斯利', '马丁·科平', '泰勒·罗宾逊']",[],"['剧情', '战争']",['110'],[' 英语'],['1861'],[' 美国']
['丧尸未逝 The Dead Don&#39;t Die'],['5.7'],['吉姆·贾木许'],"['科洛·塞维尼', '亚当·德赖弗', '蒂尔达·斯文顿', '史蒂夫·布西密', '奥斯汀·巴特勒', '比尔·默瑞', '卡赖伯·兰德里·琼斯', '赛琳娜·戈麦斯', '卡罗尔·凯恩', '汤姆·威兹', '罗茜·佩雷兹', '丹尼·格洛弗', '罗伯特·菲茨杰拉德·迪格斯', '伊基·波普', '罗莎尔·卡农', '萨拉·戴维']",[],"['喜剧', '恐怖']",['104'],[' 英语'],['12821'],[' 美国 / 瑞典']
['孤独的美食家 2019除夕特别篇 孤独のグルメ 2019大晦日スペシャル'],['8.8'],[],"['松重丰', '安藤樱', '宇梶刚士', '六平直政']",[],['剧情'],['75'],[' 日语'],['2825'],[' 日本']
['切尔诺贝利之春 Un printemps à Tchernobyl'],['8.0'],['小野败仔'],"['于越', '森中人', '冷泉夜月']",['04'],"['剧情', '动画', '历史', '灾难']",['13'],[' 汉语普通话'],['3595'],[' 中国大陆']
['最美年华 Les plus belles années d&#39;une vie'],['7.4'],['克洛德·勒卢什'],"['让-路易·特兰蒂尼昂', '阿努克·艾梅', '玛丽安娜·德尼库尔', '莫妮卡·贝鲁奇', '苏德·阿米多', 'Antoine Sire', 'Tess Lauvergne', 'Vincent Vinel', 'Bernard Warnas', 'Laurent Dassault', 'Laurent Prudhomme', 'Benjamin Patou', 'Jean-Yves Cressenville']",[],"['剧情', '爱情']",['90'],[' 法语'],['578'],[' 法国']
['你能原谅我吗？ Can You Ever Forgive Me?'],['7.2'],['玛丽埃尔·海勒'],"['梅丽莎·麦卡西', '理查德·E·格兰特', '多莉·韦尔斯', '本·法尔科内', '格里高利·克洛斯蒂舍夫斯基', '简·库丁', '斯蒂芬·斯皮内拉', '克里斯蒂安·纳瓦罗', '普·班德赫', '埃里克·拉雷·哈维', '布兰登·斯科特·琼斯', '雪伊·德林恩', '罗莎尔·卡农', '安娜·迪佛·史密斯', '马克·埃文·杰克逊', 'Marcella Lowery', '罗伯塔·瓦拉赫', '蒂娜·本科', '乔安娜·阿德勒', '迈克尔·西里尔·克赖顿', '爱丽丝·克雷梅尔堡', '露西·德维托', '贾斯汀·邦德', '马米·科西科', '扎布丽娜·格瓦拉', 'Ron Maestri', '阿曼德·里斯科', 'Liz Eng', '桃乐丝·麦卡锡', 'Bill Walters']","['09', '10']","['剧情', '喜剧', '传记', '犯罪']",['106'],[' 英语'],['7756'],[' 美国']
['野性 Sauvage'],['7.0'],['卡米尔·维达-那克'],"['费利克斯·马利陶德', '埃里克·伯纳德', '尼古拉斯·迪布拉', '菲利普·奥雷尔']","['05', '08']","['剧情', '情色', '同性']",['99'],[' 法语'],['5414'],[' 法国']
['冥王星时刻'],['6.5'],['章明'],"['王学兵', '刘丹', '曾美慧孜', '易平', '易大千', '李心然', '母其弥雅']","['12', '05']",['剧情'],['110'],[' 汉语普通话'],['12652'],[' 中国大陆']
['郊区的鸟'],['6.5'],['仇晟'],"['李淳', '黄璐', '龚子涵', '邓竞', '刘琦', '许烁', '钱炫邑']",['07'],['剧情'],['118'],[' 汉语普通话'],['1405'],[' 中国大陆']
['鬼镇事件簿 Répertoire des villes disparues'],['6.3'],['德尼·科泰'],"['让-米歇尔·安蒂尔', '诺曼德·卡瑞尔', '拉里萨·科里韦', '乔西·德斯克内斯', '雷米·古莱', '雷切尔·格拉顿', '黛安·拉瓦雷', '罗伯特·内勒', '若瑟琳·祖科']",[],"['剧情', '奇幻']",['97'],[' 法语'],['1089'],[' 加拿大']
['星之来客 To The Stars'],['6.2'],['玛莎·斯蒂芬斯'],"['玛琳·阿克曼', '乔丹娜·斯皮罗', '托尼·海尔', '丽亚娜·莱伯拉托', '谢伊·惠格姆', '卢卡斯·杰德·祖曼', '阿德莱德·克莱蒙丝', '卡拉·海沃德', '麦迪逊·贝蒂', '蒂娜·帕克', '娜塔莉.苏珊娜.加奈尔黛', 'J·D·埃弗摩尔', '布兰登·斯坦利', '索菲亚·贝尔利', 'Doug Jackson', 'Farah White', 'Quinn Gasaway']",[],['剧情'],['109'],[' 英语'],['92'],[' 美国']
['麻药王 마약왕'],['5.9'],['禹民镐'],"['宋康昊', '曹政奭', '裴斗娜', '金素真', '金大明', '李星民', '李姬珍', '赵宇镇', '尹宰文', '宋永彰', '金海坤', '李仲玉', '李熙俊', '朴庆惠']",['12'],"['剧情', '动作', '犯罪']",['139'],[' 韩语 / 日语'],['10279'],[' 韩国']
['道高一丈'],['4.9'],['姜凯阳'],"['聂远', '谭凯', '徐露', '于明加', '曲高位', '张陆', '程煜', '宋春丽', '刘小宁', '石兆琪', '董博睿', '彭凌', '刘泳希', '王志刚', '史光辉', '袁满']",['09'],"['剧情', '悬疑', '犯罪']",['96'],[' 汉语普通话'],['7613'],[' 中国大陆']
