地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 韩国'],['郑多元'],['107'],[],"['罗美兰', '李圣经', '尹相铉', '崔秀英', '廉惠兰', '魏化儁', '朱宇宰', '姜宏硕', '金道完', '安昌焕', '李贞敏', '朴素恩', '赵炳奎', '成东日', '河正宇', '安宰弘']",['女警 걸캅스'],"['喜剧', '动作', '悬疑', '犯罪']",['6.8'],['21448'],[' 韩语']
[' 美国'],['杰夫·汤姆西奇'],['100'],['06'],"['杰瑞米·雷纳', '乔恩·哈姆', '艾德·赫尔姆斯', '安娜贝拉·沃丽丝', '艾拉·菲舍尔', '拉什达·琼斯', '莱丝莉·比伯', '杰克·约翰逊', '布莱恩·丹内利', '汉尼拔·布勒斯', '塞巴斯蒂安·马尼斯科', '诺拉·邓恩', '梅丽莎·乐爱伦', '史蒂夫·伯格']",['抓人游戏 Tag'],['喜剧'],['6.7'],['11109'],[' 英语']
[' 日本'],['李斗士男'],['115'],['06'],"['荣仓奈奈', '安田显', '大谷亮平', '野野澄花', '浅野和之', '品川彻', '萤雪次朗']",['每天回家都会看到老婆在装死 家に帰ると妻が必ず死んだふりをしています。'],['喜剧'],['6.7'],['8355'],[' 日语']
[' 美国'],['盖瑞·罗斯'],['110'],['06'],"['桑德拉·布洛克', '凯特·布兰切特', '安妮·海瑟薇', '海伦娜·伯翰·卡特', '蕾哈娜', '莎拉·保罗森', '敏迪·卡灵', '奥卡菲娜', '詹姆斯·柯登', '理查德·阿米蒂奇', '格里芬·邓恩', '迪德尔·古德温', '丹尼埃拉·拉贝尼', '埃利奥特·古尔德', '夏洛特·柯克', '达科塔·范宁', '理查德·罗比查乌克斯', '达米安·杨', '戈登·格里克', '凯特琳·梅纳', '詹姆斯·比贝里', '香农·弗雷尔', '康纳尔·多诺万', '凯文·布朗', '马尔洛·托马斯', '丹娜·爱薇', '玛丽·路易丝·威尔逊', '伊丽莎白·阿什利', '凯蒂·霍尔姆斯', '肯多尔·詹娜', '凯莉·詹娜', '金·卡戴珊']",['瞒天过海：美人计 Ocean&#39;s Eight'],"['喜剧', '犯罪']",['6.7'],['203511'],[' 英语 / 印地语 / 法语 / 德语 / 汉语普通话']
[' 中国大陆'],['陈思诚'],['121'],['02'],"['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤', '王迅', '妻夫木聪', '迈克尔·皮特', '白灵', '元华', '曾江', '王成思', '杨金赐', '范湉湉', '佟丽娅', '陈思诚']",['唐人街探案2'],"['喜剧', '动作', '悬疑']",['6.7'],['696084'],[' 汉语普通话']
[' 日本'],['三谷幸喜'],['127'],[],"['中井贵一', '藤冈靛', '石田百合子', '草刈正雄', '佐藤浩市', '小池荣子', '齐藤由贵', '木村佳乃', '梶原善']",['不存在于记忆中 記憶にございません！'],"['剧情', '喜剧']",['6.7'],['1616'],[' 日语']
[' 韩国'],['李彦禧'],['116'],['06'],"['权相宇', '成东日', '李光洙', '徐英姬', '郑妍珠', '孙丹菲', '金东旭', '李一花']",['侦探2 탐정: 리턴즈'],"['喜剧', '犯罪']",['6.6'],['6462'],[' 韩语']
[' 中国大陆'],"['闫非', '彭大魔']",['118'],['07'],"['沈腾', '宋芸桦', '张一鸣', '张晨光', '常远', '魏翔', '赵自强', '九孔', '李立群', '王成思', '徐冬冬', '艾伦', '杨皓宇', '黄才伦', '王力宏', '包贝尔', '郎咸平', '张绍刚', '杨文哲', '陶亮', '王赞', '黄杨', '刘鉴', '杨沅翰', '林炳宝', '骆佳', '陈昊明', '臧一人']",['西虹市首富'],['喜剧'],['6.6'],['783192'],[' 汉语普通话']
[' 美国'],['博·伯翰'],['94'],"['01', '08']","['艾尔西·费舍尔', '约什·汉密尔顿', '艾米丽·罗宾森', '杰克·莱恩', '丹尼尔·祖尔格哈德利', '弗莱德·赫钦格', '艾曼尼·刘易斯', '卢克·普拉尔', '凯瑟琳·奥利维雷', '诺拉·姆林斯', '蜜西·雅格', '格雷戈·克罗', '弗兰克·迪尔', '黛博拉·安格', '威廉·温施', '丹·陈', '汤姆·斯特拉特福']",['八年级 Eighth Grade'],['喜剧'],['6.6'],['8295'],[' 英语']
[' 罗马尼亚 / 法国 / 德国 / 瑞典'],['柯内流·波蓝波宇'],['97'],[],"['弗拉德·伊凡诺夫', '卡特里内尔·马龙', '罗迪卡·拉泽尔', '阿古斯丁·比利亚龙加', '萨宾·塔布瑞亚', 'István Teglas', 'Cristóbal Pinto', 'Antonio Buíl', 'George Pistereanu', 'David Agranov', 'Andrei Barbu', 'Andrei Ciopec', 'Sergiu Costache', 'Julieta Szönyi']",['戈梅拉岛 La Gomera'],"['喜剧', '犯罪']",['6.4'],['1718'],[' 罗马尼亚语 / 英语 / 西班牙语']
