电影名,评分,导演,演员,月份,类型,时长,语言,评论数,地区
['进击的巨人剧场版：觉醒的咆哮 劇場版 進撃の巨人 Season 2 〜覚醒の咆哮〜'],['7.9'],"['荒木哲郎', '肥冢正史', '田中洋之']","['梶裕贵', '石川由依', '井上麻里奈', '下野纮', '小林优', '三上枝织', '藤田咲', '细谷佳正', '桥诘知久', '谷山纪章', '岛村侑', '津田健次郎', '朴璐美', '小野大辅', '神谷浩史', '子安武人']",['01'],"['动画', '灾难']",['120'],[' 日语'],['5036'],[' 日本']
['Re：从零开始的异世界生活 冰结之绊 Re:ゼロから始める異世界生活 氷結の絆'],['7.2'],['渡边政治'],"['高桥李依', '内山夕实', '小林裕介', '水濑祈', '村川梨衣', '子安武人', '玄田哲章', '日野聪', '绵贯龙之介', '相马康一', '杉崎亮', '铃木毬花', '丸山智行', '长谷川育美', '森千早都', '赤尾光', '手冢弘道', '石井隆之', '岩泽俊树', '铃木崚汰', '村上裕哉']",[],"['动画', '奇幻', '冒险']",['76'],[' 日语'],['902'],[' 日本']
['王者天下 キングダム'],['6.4'],['佐藤信介'],"['山崎贤人', '吉泽亮', '长泽雅美', '桥本环奈', '本乡奏多', '满岛真之介', '阿部进之介', '深水元基', '六平直政', '高岛政宏', '要润', '桥本润', '坂口拓', '宇梶刚士', '加藤雅也', '大泽隆夫', '石桥莲司', '大西利空']",[],"['剧情', '战争']",['134'],[' 日语'],['6827'],[' 日本']
['超能泰坦 The Titan'],['4.6'],['伦纳特·拉夫'],"['萨姆·沃辛顿', '泰勒·席林', '汤姆·威尔金森', '阿格妮丝·迪恩', '娜塔莉·伊曼纽尔', '诺亚·尤佩', '克里·约翰逊', '亚历山大·约瓦诺维奇', '迪耶戈·博内塔', '亚伦·赫弗南', '娜奥米·巴特里克', '史蒂芬·克里', '娜塔莉·波萨', '弗朗西斯科·加里多', '凯尔·索列尔', '本·奥德里基', '古斯塔沃·萨尔梅龙']","['10', '03']","['科幻', '惊悚']",['97'],[' 英语'],['8671'],[' 美国 / 英国']
['九龙不败 九龍不敗'],['3.0'],['陈果'],"['张晋', '安德森·席尔瓦', '郑嘉颖', '刘心悠', '邓丽欣', '陈钰芸', '周国贤', '吴岱融', '吴耀汉', '吴嘉龙', '罗孝勇', '张松枝', '周子扬', '廖骏雄', '方志驹']",[],"['剧情', '动作', '犯罪']",['100'],[' 粤语 / 英语 / 汉语普通话'],['7869'],[' 中国香港 / 中国大陆']
['叛徒 Il traditore'],['7.2'],['马可·贝洛基奥'],"['皮耶尔弗兰切斯科·法维诺', '马丽娅·费尔南达·康基多', '路易吉·洛·卡肖', '福斯托·鲁索·阿莱西', '尼诺·波尔齐奥', 'Alessio Praticò', 'Gabriele Arena', 'Fabrizio Ferracane', 'Jacopo Garfagnoli', 'Patrick Simons', 'Marco Gambino', 'Calì Nicola', 'Goffredo Maria Bruno', 'Massimiliano Ubaldi', 'Marilina Marino', 'Nunzia Lo Presti', 'Maria Amato']",[],"['剧情', '传记', '犯罪']",['153'],[' 意大利语'],['5310'],[' 意大利 / 法国 / 巴西 / 德国']
['车道 Driveways'],['7.1'],['安德鲁·安'],"['周洪', '布莱恩·丹内利', '克斯汀·埃伯索尔', '斯坦·卡普', '詹妮弗·德罗拉', '罗丝玛丽·霍华德', '雷蒙德·李', 'Lucas Jaye', 'Jeter Rivera', 'Sophia DiStefano', 'Victor Ruben Rivera', 'Jack Caleb', 'David Chen', 'James DiGiacomo', 'Sunny Edelman', 'Joe Felece']",[],['剧情'],['83'],[' 英语'],['75'],[' 美国']
['翠丝 翠絲'],['6.9'],['李骏硕'],"['姜皓文', '惠英红', '黄河', '袁富华', '余香凝', '吴肇轩', '周祉君', '陈蕾', '葛民辉', '岑珈其', '梁舜燕', '顾定轩', '黄溢濠', '李昭南', '陈志全']","['11', '10']","['剧情', '同性']",['119'],[' 粤语'],['11385'],[' 中国香港']
['比邻星 Proxima'],['6.8'],['艾丽斯·威诺古尔'],"['伊娃·格林', '马特·狄龙', '阿列克谢·法捷耶夫', '拉斯·艾丁格', '桑德拉·惠勒', '格莱戈尔·科林 ', 'Zélie Boulant', 'Trond-Erik Vassal', 'Nancy Tate', 'Igor Filippov', 'Svetlana Nekhoroshikh', 'Anna Sherbinina', 'Vitaly Jay', 'Lionel Ferra', 'Manuela Aguzzi']",[],['剧情'],['107'],[' 法语 / 英语 / 俄语 / 德语'],['1737'],[' 法国 / 德国']
['意外杀手 Accident Man'],['6.4'],['杰西·约翰逊'],"['斯科特·阿金斯', '雷·史蒂文森', '阿什丽·格林尼', '大卫·佩默', '迈克尔·加·怀特', '雷·帕克', '艾米·约翰斯顿', '派瑞·本森', '尼克·莫兰', '罗斯·奥亨尼西', '蒂姆·曼']","['02', '04']","['动作', '惊悚', '犯罪']",['105'],[' 英语'],['4465'],[' 英国']
['婚礼客人 The Wedding Guest'],['6.0'],['迈克尔·温特伯顿'],"['戴夫·帕特尔', '拉迪卡·艾普特', '吉姆·萨伯', 'Harish Khanna', 'Nish Nathwani', 'Sidhu Manpreet', 'Meherbaan Singh']",['09'],['剧情'],['94'],[' 英语'],['589'],[' 英国']
['境·界 BLEACH'],['4.8'],['佐藤信介'],"['福士苍汰', '杉咲花', '吉泽亮', '真野惠里菜', '小柳友', '田边诚一', '早乙女太一', '石原贵雅', '长泽雅美', '江口洋介']",['07'],"['动作', '奇幻', '冒险']",['108'],[' 日语'],['10014'],[' 日本']
['Re：从零开始的异世界生活 雪之回忆 Re:ゼロから始める異世界生活 Memory Snow'],['7.8'],"['渡边政治', '美甘义人', '古贺一臣']","['小林裕介', '高桥李依', '内山夕实', '水濑祈', '村川梨衣', '新井里美', '子安武人', '高野麻里佳', '小林由美子', '石上静香', '筱田南', '芳野由奈', '桑原由气', '木岛隆一']",['10'],"['动画', '奇幻']",['60'],[' 日语'],['2325'],[' 日本']
['给我自由 Give Me Liberty'],['6.5'],['基里尔·米哈诺夫斯基'],"['达里娅·叶卡马索娃', '劳伦·斯宾瑟', '克里斯·加卢斯特', 'Maxim Stoyanov', 'Zoya Makhlina', 'Dorothy Reynolds', 'Sheryl Sims-Daniels', 'Steve Wolski', 'Michelle Caspar', 'Ben Derfel', 'Josette Daniels', 'John Day', 'Atavia Gold Star', 'Jehonathan Guzman', 'Shawn Jolly']",[],['喜剧'],['120'],[' 英语'],['347'],[' 美国']
['吞咽 Swallow'],['6.1'],['卡洛·米拉贝拉-戴维斯'],"['海莉·贝内特', '奥斯汀·斯托维尔', '丹尼斯·欧哈拉', '伊丽莎白·玛维尔', '大卫·拉斯彻', '劳伦·维勒斯', '扎布丽娜·格瓦拉', '莱斯·纳克里', 'Babak Tafti', '妮科尔·康', 'Olivia Perez', 'Kristi Kirk', 'Alyssa Bresnahan', 'Maya Days', '爱丽丝·桑多拉', '迈拉·卢克利希亚·泰勒', '麦格雷戈里·弗雷德里克 ']",[],"['剧情', '惊悚', '恐怖']",['94'],[' 英语'],['1413'],[' 法国 / 美国']
['15年 15 Years'],['5.9'],['Yuval Hadadi'],"['Ruti Asarsai', 'Oded Leopold', 'Udi Persi']",[],"['剧情', '同性']",['89'],[' 希伯来语'],['237'],[' 以色列']
['少年泰坦出击大战少年泰坦 Teen Titans Go! vs Teen Titans'],['8.4'],['Jeff Mednikow'],"['塔拉·斯特朗', '格雷格·西佩斯', '卡里·佩顿', '斯科特·门维尔', '海登·瓦尔希', '格蕾·德丽斯勒', '瑞斯·达比', '阿尔·杨科维克', '肖恩·马希尔', '凯文·迈克尔·理查德森']",[],['动画'],['77'],[' 英语'],['1641'],[' 美国']
['私人生活 Private Life'],['7.5'],['塔玛拉·詹金斯'],"['凯瑟琳·哈恩', '保罗·吉亚玛提', '约翰·卡洛·林奇', '丹尼斯·欧哈拉', '艾米丽·罗宾森', '莫莉·香侬', '希芳·法隆', '凯莉·卡特', '麦迪·科尔曼', '弗朗西丝卡·鲁特-多德森', '海缇安·朴', '特雷西·齐默', '戴斯敏·博格斯', '萨曼莎·布克', '马米·科西科', '艾丽莎·奇塔姆', '凯莉·米勒', '安娜·库奇马', '斯宾塞·摩西', '罗丝玛丽·霍华德']","['01', '10']","['剧情', '喜剧']",['123'],[' 英语'],['6049'],[' 美国']
['过境 Transit'],['7.3'],['克里斯蒂安·佩措尔德'],"['弗兰茨·罗戈夫斯基', '葆拉·贝尔', '戈德哈尔德·吉瑟', '莉莲·巴特曼', '玛丽安·扎瑞', '巴尔巴拉·奥尔', '马蒂亚斯·勃兰特', '塞巴斯蒂安·胡克', '尤斯图斯·冯·多赫纳尼', '亚历克斯·布伦德缪尔', '特里斯坦·皮特', '罗纳德·库克利斯']","['02', '04']",['剧情'],['101'],[' 德语 / 法语 / 法国手语'],['3622'],[' 德国 / 法国']
['海角上的兄妹 岬の兄妹'],['7.3'],['片山慎三'],"['松浦祐也', '和田光沙', '北山雅康', '岩谷健司', '中村祐太郎', '风祭由纪', '松泽匠', '芹泽兴人']",['07'],"['剧情', '喜剧', '情色', '家庭']",['89'],[' 日语'],['1732'],[' 日本']
['蝙蝠侠：煤气灯下的哥谭 Batman: Gotham by Gaslight'],['6.8'],['刘山姆'],"['布鲁斯·格林伍德', '詹妮弗·卡朋特', '克里斯·考克斯', '约翰·迪·马吉欧', '大卫·福塞思', '格蕾·德丽斯勒', '安东尼·海德', '鲍勃·乔尔斯', '尤里·洛文塔尔', '林肯·梅尔彻', '斯科特·帕特森', '威廉·赛莱耶', '塔拉·斯特朗', '布鲁斯·提姆', '卡瑞·伍尔']","['01', '02']","['动作', '科幻', '动画', '悬疑', '犯罪']",['78'],[' 英语'],['4943'],[' 美国']
['越域重生 Edge of Fear'],['3.8'],['鲍比·罗斯'],"['洛克蒙·邓巴', '朱珠', '林雨申', '罗伯特·克耐普', '托姆·威廉姆斯', '罗伯特·帕特里克', '阿莫里·诺拉斯科', '安迪·麦肯济', '乔迪·琳·欧基菲', '约翰·爱德华·李', 'Dean Cudworth', 'Robert Crayton', 'Nick J. McNeil', 'Stacy Hall', 'Trent Brya']",['08'],"['动作', '惊悚', '犯罪']",['91'],[' 英语 / 汉语普通话'],['1268'],[' 美国']
['盲点 Blindspotting'],['7.3'],['卡洛斯·洛佩斯·埃斯特拉达'],"['戴维德·迪格斯', '拉斐尔·卡索', '詹妮娜·加万卡', '雅斯曼·塞斯·琼斯', '伊桑·恩布里', '提莎·坎贝尔-马丁', '乌特卡什·安邦德卡尔', '凯文·卡罗尔', '尼扬比·尼扬比', '乔恩·查芬', '韦恩·奈特', '马戈·霍尔']","['01', '07']","['剧情', '喜剧', '犯罪']",['95'],[' 英语'],['5379'],[' 美国']
['最后一搏 The Last Full Measure'],['6.7'],['托德·罗宾森'],"['塞缪尔·杰克逊', '塞巴斯蒂安·斯坦', '克里斯托弗·普卢默', '布莱德利·惠特福德', '彼得·方达', '艾德·哈里斯', '艾莉森·萨多尔', '杰瑞米·艾文', '威廉·赫特', '戴安·拉德', '迈克尔·因佩里奥利', '莱纳斯·罗彻', '埃米·马迪根', '约翰·萨维奇', '罗伯特·派恩', '扎齐·罗伊瑞格', '麦克斯·盖尔', '丽莎盖伊·汉密尔顿', '代尔·戴', '瑟达吕斯·布兰', '柯迪·沃克', '特拉维斯·阿隆·韦德', '詹姆斯·贾格尔', '维布尔·弗利茨杰拉德', '理查德·考索恩', '里克·赖茨', '阿瑟·迈尔斯·法里卡', '朱利安·亚当斯', '丹·雷诺兹', '贾迈尔·钱伯斯', '罗宾·戴克', '胡安·贾斯帕', '佩里·约翰逊', '奥罗拉·卡琳', '瑞恩·牛顿', '帕蒂·舍尔哈斯', '特拉维斯·汤普森', '罗伯特·廷斯利', '马丁·科平', '泰勒·罗宾逊']",[],"['剧情', '战争']",['110'],[' 英语'],['1866'],[' 美国']
['独家记忆番外之再见爱'],['6.5'],['刘畅'],"['张樟', '邓郁立', '方文强', '叶子诚', '李欢', '张超', '李婷婷', '陈博豪', '孙嘉灵', '李九霄', '龚锐']",[],['爱情'],['90'],[' 汉语普通话'],['3902'],[' 中国大陆']
['欲念游戏'],['2.9'],['郭涛'],"['郭涛', '张子枫', '姜潮', '梅婷', '范伟', '王迅', '盖玥希']",[],"['科幻', '悬疑', '犯罪']",['109'],[' 汉语普通话'],['4686'],[' 中国大陆']
['盛夏 Лето'],['7.8'],['基里尔·谢列布连尼科夫'],"['刘太旿', '伊琳娜·斯达申鲍姆', '罗曼·比利克', '菲利普·阿杰耶夫', '亚历山大·戈尔奇林', '尼基塔·叶甫列莫夫', '尤利娅·奥格', '叶莲娜·科连诺娃', '莉亚·阿赫扎科娃', '安东·阿达辛斯基']","['05', '06']","['音乐', '传记']",['126'],[' 俄语'],['7771'],[' 俄罗斯']
['金陵神捕'],['5.9'],['韦恩'],"['郑明洋', '王玮']",[],"['悬疑', '古装']",['102'],[' 汉语普通话'],['2982'],[' 中国大陆']
['爱探险的朵拉：消失的黄金城 Dora and the Lost City of Gold'],['5.9'],['詹姆斯·博宾'],"['伊莎贝拉·莫奈', '迈克尔·佩纳', '本尼西奥·德尔·托罗', '考莉安卡·基尔彻', '伊娃·朗格利亚', '特穆拉·莫里森', '欧赫尼奥·德尔维斯', '玛德琳·麦登', '艾德里安娜·巴拉扎', '伊瑟拉·维加', '克里斯托弗·卡比', '尼古拉斯·库姆', '布拉登·刘易斯', '杰弗里·沃尔伯格']",[],"['家庭', '冒险']",['102'],[' 英语'],['1835'],[' 美国']
['杀手餐厅 Diner ダイナー'],['5.5'],['蜷川实花'],"['藤原龙也', '玉城蒂娜', '洼田正孝', '本乡奏多', '武田真治', '斋藤工', '佐藤江梨子', '金子统昭', '小栗旬', '土屋安娜', '真矢美纪', '奥田瑛二']",[],"['剧情', '动作']",['117'],[' 日语'],['3315'],[' 日本']
['冷溪营地 Camp Cold Brook'],['4.1'],['安迪·帕尔默'],"['丹妮尔·哈丽丝', '查德·迈克尔·墨瑞', '考特尼·盖恩斯', '凯特·琼斯', '迈克尔·埃里克·里德', '康迪斯·德·维瑟', '朱丽叶·吉达', 'Mary Kathryn Bryant', 'Jason Van Eman', 'Corbin Tyler']",['08'],['恐怖'],['86'],[' 英语'],['124'],[' 美国']
['转型团伙'],['3.4'],['吴镇宇'],"['吴镇宇', '乔杉', '文松', '吴志雄', '衣云鹤', '费曼', '于莎莎', '任达华']",[],['喜剧'],['90'],[' 汉语普通话'],['4471'],[' 中国大陆']
['大蛇'],['3.4'],['林珍钊'],"['黄凯伦', '郑跃', '奚美丽', '杨永']",['09'],"['动作', '冒险']",['80'],[' 汉语普通话'],['2760'],[' 中国大陆']
['战斗传教士 The Fighting Preacher'],[''],['T.C. Christensen'],"['David McConnell', 'Charley Boon', 'Kenna Dawn', '史蒂夫·安德森', '理查德·贝内迪克特', 'Liz Christensen', 'David DeDen', 'Jim Goldrup', 'Scarlett Hazen']",[],"['剧情', '喜剧', '历史']",['100'],[' 英语'],[],[' 美国']
['闪电奇侠刚达拉 Gundala'],[''],['乔可·安华'],[],[],[],['119'],[' 印尼'],[],[' 印度尼西亚']
['瑞奇·热维斯：人性 Ricky Gervais: Humanity'],['8.8'],['John L. Spencer'],['瑞奇·热维斯'],['03'],"['喜剧', '脱口秀']",['79'],[' 英语'],['1809'],[' 美国']
['鲁邦三世：峰不二子的谎言 LUPIN THE IIIRD 峰不二子の嘘'],['7.7'],['小池健'],"['泽城美雪', '栗田贯一', '小林清志', '浪川大辅', '山寺宏一']",[],['动画'],['58'],[' 日语'],['1767'],[' 日本']
['初恋'],['6.9'],['三池崇史'],"['洼田正孝', '大森南朋', '染谷将太', '小西樱子', '贝基', '村上淳', '盐见三省', '内野圣阳', '三浦贵大']",[],"['剧情', '爱情', '犯罪']",['108'],[' 日语'],['2225'],[' 日本']
['消失的夜晚 사라진 밤'],['6.8'],['李昌熙'],"['金相庆', '金康宇', '金喜爱', '韩智安', '李至勋', '徐贤宇', '李敏芝', '崔明彬', '玄奉植', '孔敏晶', '柳京洙', '黃在烈', '安昌焕', '金熙尚', '黄仁准', '权海骁', '金智英', '庆收真']",['03'],"['悬疑', '惊悚', '犯罪']",['101'],[' 韩语'],['5534'],[' 韩国']
['名字之歌 The Song of Names'],['6.7'],['佛朗索瓦·吉拉德'],"['蒂姆·罗斯', '克莱夫·欧文', '艾迪·伊扎德', '绍尔·鲁宾内克', '凯瑟琳·麦克马克', '乔纳·豪尔-金', '格伦·霍威尔', '朱利安·沃德姆', '卡米尔·雷米泽斯基', '艾米·斯洛安', '理查德·布雷默', '麦克斯·麦克米兰', '斯坦利·汤森德', '马格达莱娜·谢莱卡', '马特·戴维尔', '杰弗里·凯恩', '莎伦·佩尔西', 'Yank Azman', 'Tamás Puskás', '莉迪亚·博加茨', 'Jakub Kotynski']",[],['剧情'],['113'],[' 英语'],['1227'],[' 加拿大 / 匈牙利']
['金手套 Der Goldene Handschuh'],['6.5'],['法提赫·阿金'],"['乔纳斯·达斯勒', '马克·霍泽曼', '亚当·布斯多柯斯', '卡特加·斯图特', '玛格丽特·提塞尔', '特里斯坦·格贝尔', '菲利普·巴尔特斯', '玛蒂娜·艾特纳-阿奇姆彭', '维多莉亚·塔拉特曼斯多夫', '哈克·波姆', '乌维·罗德', '杰西卡·科斯马拉']",[],"['剧情', '惊悚', '犯罪']",['110'],[' 德语'],['4038'],[' 德国 / 法国']
['爱上谎言的女人 嘘を愛する女'],['6.4'],['中江和仁'],"['长泽雅美', '高桥一生', '内藤大湖', '川荣李奈', '黑木瞳', '吉田钢太郎']",['01'],"['剧情', '悬疑']",['118'],[' 日语'],['6674'],[' 日本']
['天才J之致命推理'],['5.9'],['曾庆杰'],"['陈思宇', '王子清', '小夕']",['08'],[],['90'],[' 汉语普通话'],['2149'],[' 中国大陆']
['水怪'],['4.4'],"['项秋良', '项河生']","['刘林城', '朱丽岚', '王洪千', '王建国', '乐思宏', '谢毅', '李彦峰']",[],"['奇幻', '古装']",['85'],[' 汉语普通话'],['3481'],[' 中国大陆']
['纳尼亚传奇4：银椅 The Chronicles of Narnia: The Silver Chair'],[''],['乔·庄斯顿'],['Will Poulter'],[],"['奇幻', '冒险']",[],[' 英语'],[],[' 美国']
['天使印记 エンジェルサイン'],[''],['北条司'],"['松下奈绪', '藤冈靛']",[],"['爱情', '音乐']",[],[' 日语'],[],[' 日本']
['孤独的美食家除夕SP：京都・名古屋出差篇 孤独のグルメ 2018大晦日スペシャル'],['8.9'],[],['松重丰'],['12'],['剧情'],['75'],[' 日语'],['4185'],[' 日本']
